subject,block,trial,mu1,mu2,choice,reward,RT
3,8,9,-2,-7,1,-3,235
3,8,10,-2,-7,1,-2,275
3,9,1,-6,2,2,3,589
3,9,2,-6,2,1,-6,300
3,9,3,-6,2,2,3,266
3,9,4,-6,2,2,1,225
3,9,5,-6,2,2,2,223
3,9,6,-6,2,2,2,226
3,9,7,-6,2,2,3,230
3,9,8,-6,2,2,4,218
3,9,9,-6,2,2,3,266
3,9,10,-6,2,2,3,266
3,10,1,6,-1,1,7,408
3,10,2,6,-1,2,0,263
3,10,3,6,-1,1,7,285
3,10,4,6,-1,1,6,222
3,10,5,6,-1,1,6,250
3,10,6,6,-1,1,7,318
3,10,7,6,-1,1,5,299
3,10,8,6,-1,1,8,251
3,10,9,6,-1,1,5,262
3,10,10,6,-1,1,5,292
3,11,1,-4,5,2,6,398
3,11,2,-4,5,1,-4,282
3,11,3,-4,5,2,5,290
3,11,4,-4,5,2,4,207
3,11,5,-4,5,2,5,223
3,11,6,-4,5,2,5,224
3,11,7,-4,5,2,6,204
3,11,8,-4,5,2,5,272
3,11,9,-4,5,2,7,209
3,11,10,-4,5,2,5,240
3,12,1,2,-10,2,-8,387
3,12,2,2,-10,1,2,266
3,12,3,2,-10,1,1,245
3,12,4,2,-10,1,2,251
3,12,5,2,-10,1,1,262
3,12,6,2,-10,1,4,228
3,12,7,2,-10,1,2,274
3,12,8,2,-10,1,-1,288
3,12,9,2,-10,1,4,300
3,12,10,2,-10,1,1,568
3,13,1,0,7,1,-1,463
3,13,2,0,7,2,7,261
3,13,3,0,7,2,9,250
3,13,4,0,7,2,8,223
3,13,5,0,7,2,7,226
3,13,6,0,7,2,6,229
3,13,7,0,7,2,7,271
3,13,8,0,7,2,7,284
3,13,9,0,7,2,6,247
3,13,10,0,7,2,8,250
3,14,1,3,0,2,1,507
3,14,2,3,0,1,3,279
3,14,3,3,0,1,4,243
3,14,4,3,0,1,3,201
3,14,5,3,0,1,4,268
3,14,6,3,0,1,3,237
3,14,7,3,0,1,3,236
3,14,8,3,0,1,3,242
3,14,9,3,0,1,4,251
3,14,10,3,0,1,4,248
3,15,1,5,3,2,3,365
3,15,2,5,3,1,6,253
3,15,3,5,3,1,6,306
3,15,4,5,3,1,6,248
3,15,5,5,3,1,4,225
3,15,6,5,3,1,4,258
3,15,7,5,3,1,6,237
3,15,8,5,3,1,5,266
3,15,9,5,3,1,7,273
3,15,10,5,3,1,4,360
3,16,1,4,4,2,5,615
3,16,2,4,4,1,3,237
3,16,3,4,4,2,5,281
3,16,4,4,4,2,3,203
3,16,5,4,4,2,4,239
3,16,6,4,4,2,5,216
3,16,7,4,4,2,3,246
3,16,8,4,4,2,3,266
3,16,9,4,4,2,4,245
3,16,10,4,4,2,5,275
3,17,1,6,-3,2,-4,417
3,17,2,6,-3,1,5,255
3,17,3,6,-3,1,6,264
3,17,4,6,-3,1,6,245
3,17,5,6,-3,1,7,255
3,17,6,6,-3,1,5,275
3,17,7,6,-3,1,5,264
3,17,8,6,-3,1,7,287
3,17,9,6,-3,1,5,261
3,17,10,6,-3,1,5,241
3,18,1,-8,-3,1,-9,384
3,18,2,-8,-3,2,0,233
3,18,3,-8,-3,2,-2,225
3,18,4,-8,-3,2,-4,214
3,18,5,-8,-3,2,-4,190
3,18,6,-8,-3,1,-8,256
3,18,7,-8,-3,2,-5,234
3,18,8,-8,-3,2,-5,209
3,18,9,-8,-3,2,-3,220
3,18,10,-8,-3,2,-5,244
3,19,1,4,-4,2,-3,573
3,19,2,4,-4,1,4,231
3,19,3,4,-4,1,5,238
3,19,4,4,-4,1,4,255
3,19,5,4,-4,1,6,267
3,19,6,4,-4,1,4,235
3,19,7,4,-4,1,2,226
3,19,8,4,-4,1,3,261
3,19,9,4,-4,1,3,256
3,19,10,4,-4,1,5,260
3,20,1,5,-6,2,-6,380
3,20,2,5,-6,1,5,254
3,20,3,5,-6,1,4,230
3,20,4,5,-6,1,4,224
3,20,5,5,-6,1,5,244
3,20,6,5,-6,1,4,233
3,20,7,5,-6,1,6,254
